0,Jason says it's cool if we pick some up from his place in like an hour
0,Bring home some Wendy =D
1,Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service
0,happened here while you were adventuring
0,"Aight, we'll head out in a few"
1,Greetings! Your wifi provider has a gift�a free upgrade to an unlimited plan. Confirm it now by clicking the link below.
1,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
0,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
0,No let me do the math. Your not good at it.
0,Okay same with me. Well thanks for the clarification
0,Why are u up so early?
0,Unlimited texts. Limited minutes.
0,Ladies first and genus second k .
0,I sent you  &lt;#&gt;  bucks
0,How much u trying to get?
1,"Dear Amazon Customer, your payment method has been restricted. Complete the payment using the link provided below."
1,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
1,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
1,"An arrest warrant due to tax exploitation has been raised, as notified by HMRC."
0,Sweet heart how are you?
0,"Vikky, come around  &lt;TIME&gt; .."
1,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
1,"Dear user, your SIM plan has been improved to unlimited at the same charge to make your experience better. Online payment is requested for this special package."
1,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
1,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only
0,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
1,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins."
0,Id onluy matters when getting on from offcampus
0,I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :)
1,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
0,I dont know exactly could you ask chechi.
0,It's justbeen overa week since we broke up and already our brains are going to mush!
0,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE
1,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.
0,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.
1,"Text Message Services: To access your included text credits, please visit www.comuk.net and log in using code 3qxj9. To stop, reply with STOP. No additional fees."
0,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.
0,I'm home. Doc gave me pain meds says everything is fine.
0,V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night
1,"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"
0,Mm umma ask vava also to come tell him can play later together
1,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+"
1,You have an important customer service announcement from PREMIER.
0,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
0,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x"
0,It means u could not keep ur words.
0,"Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx."
1,PRIVATE! Your 2003 Account Statement for 078
1,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
0,In meeting da. I will call you
1,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
1,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
0,Lol. Well quality aint bad at all so i aint complaining
1,"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply."
1,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate"
1,Get ready to be lucky! Snag an iPhone 15 without any charge by filling out your details and entering our lucky draw.
1,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
1,2/2 146tf150p
